Index_Close,Oil_Close
52,79.05
53.02,79.27
53.849998,80.14
53.790001,80.57
54.200001,80.06
53.77,80.14
52.66,79.38
53.189999,77.57
53.380001,77.61
52.779999,76.85
53.119999,75.18
52.459999,75.09
51.619999,74.13
49.990002,72.73
50.810001,72.18
50.34,72.63
49.869999,72.75
49.689999,70.65
48.330002,71.2
49.880001,71.58
50.91,73.94
50.560001,75.77
48.110001,71.3
47.790001,70.11
47.639999,69.62
48.689999,70.4
48.779999,70.4
49.599998,72.35
49.299999,71.49
50.919998,74.82
50.970001,74.89
51.23,76.61
51.650002,76.88
51,76.95
50.080002,76.44
50.150002,77
50.169998,74.38
50.59,76.36
51.349998,76.07
51.82,77.5
52.330002,78.66
51.990002,77.88
53.07,79.2
52.869999,78.94
52.709999,78.77
53.41,80.29
53.360001,79.44
53.400002,79.38
52.419998,77.08
53.110001,79.45
54,80.28
52.700001,80.09
51.560001,78.37
51.799999,78.09
51.810001,79.17
51.689999,78.03
50.380001,78.64
50.23,77.98
51.599998,79.89
51.52,79.46
52.220001,80.37
53.16,82.63
54.380001,84.48
54.369999,85.05
54.209999,84.49
53.650002,82.63
54.130001,82.77
54.209999,85.21
53.93,83.44
54.639999,85.81
54.66,86.9
52.990002,84.81
52.98,83.09
54.450001,84.73
54.48,84.55
54.830002,84.58
55.779999,86.09
56.07,86.72
54.75,85.59
54.599998,84.59
54.5,86.82
54.029999,86.19
54.580002,88.09
52.91,85.39
52.099998,82.31
50.509998,80.21
49.02,76.48
51,78.08
50.689999,79
51.830002,78.7
51.650002,79.41
50.349998,76.43
49.43,73.87
49.459999,75.12
48.470001,71.86
46.400002,69.56
46.799999,70.45
46.169998,69.62
45.48,67.18
46.18,70.59
48.009998,73.56
47.950001,73
45,73.08
46.27,72.78
48,73.12
46.169998,71.84
46.57,71.09
45.740002,71.43
45.93,73.68
48.650002,74.33
48.450001,73.28
49.349998,75.11
50.32,75.29
50.52,76.12
50.330002,77.52
50.48,77.05
50.279999,78.53
48.650002,78.08
48.349998,75.22
47.459999,75.17
48.130001,76.21
47.369999,76.66
45.389999,74.21
45.009998,74.94
44.84,71.73
45.009998,71.75
44.889999,73.08
46.849998,72.97
47.73,74.56
47.869999,75.2
47.419998,74.35
48.25,76.45
47.990002,76.63
47.98,75.52
46.630001,75.55
46.759998,76.29
48.25,76.31
47.580002,75.75
48.73,77.59
