,date
0,1962-01-02
1,1962-01-03
2,1962-01-04
3,1962-01-05
4,1962-01-08
5,1962-01-09
6,1962-01-10
7,1962-01-11
8,1962-01-12
9,1962-01-15
10,1962-01-16
11,1962-01-17
12,1962-01-18
13,1962-01-19
14,1962-01-22
15,1962-01-23
16,1962-01-24
17,1962-01-25
18,1962-01-26
19,1962-01-29
20,1962-01-30
21,1962-01-31
22,1962-02-01
23,1962-02-02
24,1962-02-05
25,1962-02-06
26,1962-02-07
27,1962-02-08
28,1962-02-09
29,1962-02-12
30,1962-02-13
31,1962-02-14
32,1962-02-15
33,1962-02-16
34,1962-02-19
35,1962-02-20
36,1962-02-21
37,1962-02-23
38,1962-02-26
39,1962-02-27
40,1962-02-28
41,1962-03-01
42,1962-03-02
43,1962-03-05
44,1962-03-06
45,1962-03-07
46,1962-03-08
47,1962-03-09
48,1962-03-12
49,1962-03-13
50,1962-03-14
51,1962-03-15
52,1962-03-16
53,1962-03-19
54,1962-03-20
55,1962-03-21
56,1962-03-22
57,1962-03-23
58,1962-03-26
59,1962-03-27
60,1962-03-28
61,1962-03-29
62,1962-03-30
63,1962-04-02
64,1962-04-03
65,1962-04-04
66,1962-04-05
67,1962-04-06
68,1962-04-09
69,1962-04-10
70,1962-04-11
71,1962-04-12
72,1962-04-13
73,1962-04-16
74,1962-04-17
75,1962-04-18
76,1962-04-19
77,1962-04-23
78,1962-04-24
79,1962-04-25
80,1962-04-26
81,1962-04-27
82,1962-04-30
83,1962-05-01
84,1962-05-02
85,1962-05-03
86,1962-05-04
87,1962-05-07
88,1962-05-08
89,1962-05-09
90,1962-05-10
91,1962-05-11
92,1962-05-14
93,1962-05-15
94,1962-05-16
95,1962-05-17
96,1962-05-18
97,1962-05-21
98,1962-05-22
99,1962-05-23
100,1962-05-24
101,1962-05-25
102,1962-05-28
103,1962-05-29
104,1962-05-31
105,1962-06-01
106,1962-06-04
107,1962-06-05
108,1962-06-06
109,1962-06-07
110,1962-06-08
111,1962-06-11
112,1962-06-12
113,1962-06-13
114,1962-06-14
115,1962-06-15
116,1962-06-18
117,1962-06-19
118,1962-06-20
119,1962-06-21
120,1962-06-22
121,1962-06-25
122,1962-06-26
123,1962-06-27
124,1962-06-28
125,1962-06-29
126,1962-07-02
127,1962-07-03
128,1962-07-05
129,1962-07-06
130,1962-07-09
131,1962-07-10
132,1962-07-11
133,1962-07-12
134,1962-07-13
135,1962-07-16
136,1962-07-17
137,1962-07-18
138,1962-07-19
139,1962-07-20
140,1962-07-23
141,1962-07-24
142,1962-07-25
143,1962-07-26
144,1962-07-27
145,1962-07-30
146,1962-07-31
147,1962-08-01
148,1962-08-02
149,1962-08-03
150,1962-08-06
151,1962-08-07
152,1962-08-08
153,1962-08-09
154,1962-08-10
155,1962-08-13
156,1962-08-14
157,1962-08-15
158,1962-08-16
159,1962-08-17
160,1962-08-20
161,1962-08-21
162,1962-08-22
163,1962-08-23
164,1962-08-24
165,1962-08-27
166,1962-08-28
167,1962-08-29
168,1962-08-30
169,1962-08-31
170,1962-09-04
171,1962-09-05
172,1962-09-06
173,1962-09-07
174,1962-09-10
175,1962-09-11
176,1962-09-12
177,1962-09-13
178,1962-09-14
179,1962-09-17
180,1962-09-18
181,1962-09-19
182,1962-09-20
183,1962-09-21
184,1962-09-24
185,1962-09-25
186,1962-09-26
187,1962-09-27
188,1962-09-28
189,1962-10-01
190,1962-10-02
191,1962-10-03
192,1962-10-04
193,1962-10-05
194,1962-10-08
195,1962-10-09
196,1962-10-10
197,1962-10-11
198,1962-10-12
199,1962-10-15
200,1962-10-16
201,1962-10-17
202,1962-10-18
203,1962-10-19
204,1962-10-22
205,1962-10-23
206,1962-10-24
207,1962-10-25
208,1962-10-26
209,1962-10-29
210,1962-10-30
211,1962-10-31
212,1962-11-01
213,1962-11-02
214,1962-11-05
215,1962-11-07
216,1962-11-08
217,1962-11-09
218,1962-11-12
219,1962-11-13
220,1962-11-14
221,1962-11-15
222,1962-11-16
223,1962-11-19
224,1962-11-20
225,1962-11-21
226,1962-11-23
227,1962-11-26
228,1962-11-27
229,1962-11-28
230,1962-11-29
231,1962-11-30
232,1962-12-03
233,1962-12-04
234,1962-12-05
235,1962-12-06
236,1962-12-07
237,1962-12-10
238,1962-12-11
239,1962-12-12
240,1962-12-13
241,1962-12-14
242,1962-12-17
243,1962-12-18
244,1962-12-19
245,1962-12-20
246,1962-12-21
247,1962-12-24
248,1962-12-26
249,1962-12-27
250,1962-12-28
251,1962-12-31
252,1963-01-02
253,1963-01-03
254,1963-01-04
255,1963-01-07
256,1963-01-08
257,1963-01-09
258,1963-01-10
259,1963-01-11
260,1963-01-14
261,1963-01-15
262,1963-01-16
263,1963-01-17
264,1963-01-18
265,1963-01-21
266,1963-01-22
267,1963-01-23
268,1963-01-24
269,1963-01-25
270,1963-01-28
271,1963-01-29
272,1963-01-30
273,1963-01-31
274,1963-02-01
275,1963-02-04
276,1963-02-05
277,1963-02-06
278,1963-02-07
279,1963-02-08
280,1963-02-11
281,1963-02-12
282,1963-02-13
283,1963-02-14
284,1963-02-15
285,1963-02-18
286,1963-02-19
287,1963-02-20
288,1963-02-21
289,1963-02-25
290,1963-02-26
291,1963-02-27
292,1963-02-28
293,1963-03-01
294,1963-03-04
295,1963-03-05
296,1963-03-06
297,1963-03-07
298,1963-03-08
299,1963-03-11
300,1963-03-12
301,1963-03-13
302,1963-03-14
303,1963-03-15
304,1963-03-18
305,1963-03-19
306,1963-03-20
307,1963-03-21
308,1963-03-22
309,1963-03-25
310,1963-03-26
311,1963-03-27
312,1963-03-28
313,1963-03-29
314,1963-04-01
315,1963-04-02
316,1963-04-03
317,1963-04-04
318,1963-04-05
319,1963-04-08
320,1963-04-09
321,1963-04-10
322,1963-04-11
323,1963-04-15
324,1963-04-16
325,1963-04-17
326,1963-04-18
327,1963-04-19
328,1963-04-22
329,1963-04-23
330,1963-04-24
331,1963-04-25
332,1963-04-26
333,1963-04-29
334,1963-04-30
335,1963-05-01
336,1963-05-02
337,1963-05-03
338,1963-05-06
339,1963-05-07
340,1963-05-08
341,1963-05-09
342,1963-05-10
343,1963-05-13
344,1963-05-14
345,1963-05-15
346,1963-05-16
347,1963-05-17
348,1963-05-20
349,1963-05-21
